,_id_rank,日期_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,成交量_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,代码_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,delta昨日成交额_rank,昨日成交量_rank,delta昨日成交量_rank,昨日涨跌_rank,delta昨日涨跌_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,ma_up14周期昨日资金贡献_rank,ma_down14周期昨日资金贡献_rank,ma_up14周期昨日资金波动_rank,ma_down14周期昨日资金波动_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,ma_up16周期昨日资金贡献_rank,ma_down16周期昨日资金贡献_rank,ma_up16周期昨日资金波动_rank,ma_down16周期昨日资金波动_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank,ma_up18周期昨日资金贡献_rank,ma_down18周期昨日资金贡献_rank,ma_up18周期昨日资金波动_rank,ma_down18周期昨日资金波动_rank
"(0.0, 0.02)",0.004341943,,-2.15E-05,-0.000144569,-0.000158367,-2.33E-05,-0.008599644,-0.008083107,-0.011714123,-0.002139935,-0.005366187,-0.020617081,-0.004500434,-0.000397894,,-0.003491715,-0.010412965,-0.007882453,-0.007087643,-0.006985305,-0.007880165,-0.009428506,-0.008042362,0.008618081,0.005960658,0.005960658,0.005408512,0.010600158,0.008004555,0.008004555,0.005195586,-0.007596373,-0.007251752,0.008933573,0.006654845,0.00522878,0.00893241,0.007845251,-0.008104444,-0.006419026,0.008899632,0.005539665,0.005766986,0.010124926,0.008653278,-0.008673347,-0.006279226,0.008853102,0.006894037,0.006479572,0.010498949,0.009111705,-0.00932055,-0.005542175,0.008416816,0.007654618,0.007466544,0.011008912,0.009975592,-0.009583559,-0.005233912,0.008748887,0.008441934,0.007672962,0.010703899,0.009494971,-0.009411808,-0.005208878,0.008564158,0.008584246,0.007945448,0.011443246,0.010751859,-0.009830357,-0.00547734,0.008510874,0.008512899,0.007915515,0.011479833,0.011813899,-0.009710542,-0.005832963,0.008341599,0.00842421,0.008127458,0.012158341,0.011939548
"(0.02, 0.04)",0.002792257,,-0.005058971,-0.005021377,-0.005150517,-0.00500072,-0.007922399,-0.00809299,-0.00733736,-0.006916857,-0.00630542,-0.007600669,-0.00317011,0.002341861,,-0.002361078,-0.006298492,-0.006513004,-0.006090194,-0.00821078,-0.006004901,-0.005984043,-0.001422739,0.007509613,0.004463077,0.004463077,0.004148046,0.006058894,0.004186322,0.004186322,0.005021518,-0.004798509,-0.0059763,0.006921714,0.005097869,0.004376683,0.006337877,0.004109811,-0.005626036,-0.005923859,0.006373607,0.005970764,0.003824659,0.004792139,0.005522056,-0.004884283,-0.005196215,0.006296729,0.005927859,0.005009088,0.005851781,0.006223983,-0.005022879,-0.005551447,0.00666106,0.005988999,0.005344464,0.005089519,0.00512468,-0.003514895,-0.005024645,0.005926277,0.007597328,0.005153741,0.005714136,0.005317576,-0.004832371,-0.00511378,0.005890798,0.006646422,0.005719408,0.005427105,0.004810202,-0.003246932,-0.004686371,0.007339859,0.007277545,0.007328919,0.005696558,0.004526068,-0.003465509,-0.004145367,0.008027738,0.008174021,0.007161554,0.005876926,0.004369593
"(0.04, 0.06)",0.001552848,,-0.00249465,-0.002655266,-0.002540263,-0.002540957,-0.006853779,-0.005599835,-0.005126568,-0.004692019,-0.003029617,-0.005538161,0.000115622,0.002397644,,-0.000775015,-0.005691956,-0.004838319,-0.004353196,-0.004701786,-0.002723554,-0.002193142,-0.000551754,0.006859249,0.005026811,0.005026811,0.002568371,0.007166633,0.003247016,0.003247016,0.005217631,-0.00304164,-0.004943713,0.007138918,0.004206833,0.003297479,0.005088878,0.004730328,-0.003759246,-0.004456629,0.007383231,0.004947848,0.004782314,0.004808424,0.004620873,-0.003796758,-0.004519627,0.007301734,0.004661241,0.00391102,0.003188786,0.004729717,-0.002516443,-0.004284491,0.007185479,0.005931998,0.004232661,0.004519052,0.004482966,-0.00356324,-0.004430223,0.008020185,0.003992577,0.005684366,0.004349189,0.005335082,-0.000243068,-0.004274975,0.008641434,0.006323265,0.005914131,0.004716745,0.005044222,-0.000380167,-0.004124889,0.007548879,0.006690489,0.006083933,0.005403558,0.006514986,-0.001932298,-0.004169772,0.007278836,0.006422881,0.007096691,0.004076087,0.006446736
"(0.06, 0.08)",0.003716308,,0.001989373,0.002269475,0.001955093,0.002394891,-0.007324016,-0.005456262,-0.003853457,-0.003627875,-0.003668622,-0.004712231,-0.002959015,0.002048246,,0.000863634,-0.003325759,-0.005889102,-0.002575883,-0.005979449,-0.00296647,-0.002016638,-0.001035934,0.004135322,0.004142868,0.004142868,0.002550575,0.005645907,0.002964672,0.002994071,0.003571264,-0.002956818,-0.005219473,0.004672156,0.004785855,0.004805072,0.004871339,0.004595985,-0.002154349,-0.006549116,0.006115682,0.003614499,0.004462431,0.005188682,0.004637917,-0.002433,-0.005525387,0.006773594,0.003600014,0.005500463,0.005178931,0.004540388,-0.001710003,-0.005386484,0.007330844,0.004342566,0.004092943,0.004411342,0.003912903,-0.000196357,-0.005231926,0.007180786,0.00536947,0.005119499,0.00614786,0.004025015,-0.002963267,-0.004807215,0.006572819,0.004664649,0.004916317,0.005615159,0.004697437,-0.002217511,-0.004589331,0.006476406,0.004404505,0.003848985,0.006241116,0.004033982,-0.000893627,-0.004939116,0.006245387,0.004992513,0.00501419,0.006488162,0.004484488
"(0.08, 0.1)",0.003717948,,-0.002402827,-0.002624504,-0.002576294,-0.00287674,-0.006295282,-0.005573906,-0.003591392,-0.002249104,-0.000769986,-0.003073362,-0.002100587,-0.001900229,,-0.001021972,-0.002228674,-0.006077587,-0.00122415,-0.006014664,-0.000538316,-0.00115731,-0.000827231,0.004196176,0.002822523,0.002853553,0.002640545,0.005213789,0.003973665,0.004099768,0.002010488,-0.000251491,-0.006595606,0.004458665,0.004134751,0.003810212,0.005503742,0.005245323,-0.000756174,-0.003919261,0.004597539,0.002919011,0.005077455,0.00366667,0.004184908,-0.00127365,-0.004611697,0.005467194,0.003624721,0.004340223,0.004285347,0.003931054,-2.86E-05,-0.004303633,0.004949792,0.003058438,0.004365238,0.006140644,0.005521167,-0.001736346,-0.003838932,0.004427761,0.003019148,0.003833546,0.005453274,0.00515822,-0.001233429,-0.003132477,0.003747542,0.004224067,0.005514694,0.007042901,0.004113979,0.000407754,-0.002408861,0.003375014,0.004467955,0.004987521,0.005832413,0.004024628,0.000442199,-0.002316488,0.004092695,0.004449904,0.003740623,0.005580557,0.004276711
"(0.1, 0.12)",0.001972198,,-0.002039774,-0.001801814,-0.001681011,-0.0019508,-0.003284222,-0.006240429,-0.002518302,-7.21E-05,-0.001753377,-0.002135563,-0.002242838,0.000593374,,0.000286096,-0.001481926,-0.005316599,-0.00068347,-0.00316723,-0.001716682,0.00150012,0.000528303,0.005031499,0.003130034,0.00318967,0.002172612,0.003912169,0.003167985,0.003330079,0.001739917,-0.001110434,-0.004789053,0.004514824,0.004104271,0.004487364,0.004660506,0.002878801,-0.000758402,-0.004714935,0.004904212,0.004893993,0.003503702,0.003841457,0.004086491,-0.001179653,-0.002898712,0.003634928,0.003228127,0.003929782,0.003734647,0.004672032,-0.001649227,-0.002546694,0.003163108,0.003273126,0.006744254,0.004014055,0.005224062,-0.001928623,-0.003321401,0.003088359,0.004766653,0.005147065,0.004462153,0.007018461,0.00164436,-0.003124849,0.003560271,0.004219971,0.003957534,0.003282787,0.00572082,-0.000970269,-0.004069998,0.004295097,0.005881567,0.004352574,0.004651406,0.005873982,0.000131559,-0.003258495,0.003509233,0.005163171,0.005541649,0.004063542,0.005189106
"(0.12, 0.14)",0.003386331,,-0.000510905,-0.000945145,-0.001181082,7.68E-05,-0.003961911,-0.002653204,-0.000912563,-8.93E-05,-0.001209289,-0.000444696,-0.000470676,-0.000500724,,0.001403017,-0.001851462,-0.002724091,-0.000802685,-0.004135153,-0.000895167,0.00085019,0.000885567,0.00476459,0.004319915,0.004466439,0.001458487,0.005445039,0.001705124,0.001760441,0.002217023,-0.000146594,-0.00343259,0.005456285,0.006348392,0.003877034,0.003414727,0.005622504,0.001947829,-0.004133964,0.004521473,0.003993548,0.004138285,0.00386517,0.005131138,0.001738769,-0.004270498,0.004747943,0.004323301,0.003159992,0.004951179,0.00528901,-0.000454669,-0.003974527,0.00461423,0.003670147,0.004068608,0.003551575,0.004006878,-0.000425055,-0.00228645,0.004840388,0.003792306,0.004711315,0.004739099,0.005040795,-0.000211641,-0.00341823,0.005027341,0.004573306,0.004085857,0.004333826,0.006350459,0.000772775,-0.003092194,0.004402947,0.004712987,0.004327575,0.004647186,0.005719289,0.001273176,-0.003779273,0.005223203,0.004538303,0.003678182,0.004279012,0.004751676
"(0.14, 0.16)",2.73E-06,,-0.000106976,0.000281303,0.000196066,-0.000470245,-0.004000868,-0.004159405,-0.001627316,0.000524396,-0.000864954,-0.001690444,-0.001114088,-0.001051656,,0.003396492,-0.000930378,-0.003854846,0.000358314,-0.004658994,0.000377739,0.002460167,-0.000151835,0.004755806,0.001464026,0.001524934,0.001921613,0.004017983,0.001795069,0.001873211,0.001188637,0.000858817,-0.002006393,0.00470245,0.003946456,0.003272298,0.005008899,0.004906068,0.000482641,-0.002566835,0.005101238,0.003158507,0.004751773,0.005946271,0.004228252,0.001082217,-0.002955041,0.005108236,0.002903756,0.00419319,0.006284886,0.004230772,0.000676408,-0.002724972,0.005715526,0.004812063,0.002173663,0.005259356,0.004668965,0.00125339,-0.002831793,0.006033286,0.004144517,0.003208557,0.004081876,0.005270879,-0.000171377,-0.002714143,0.005319539,0.003648579,0.004303615,0.004419488,0.005223064,0.000772843,-0.002411285,0.00491335,0.002835116,0.00449794,0.003255848,0.004872175,0.001168184,-0.00275558,0.004822193,0.004065339,0.004098135,0.005973548,0.005411486
"(0.16, 0.18)",0.003181116,,-2.80E-05,0.00013289,8.22E-05,0.00017566,-0.003322764,-0.003967056,-0.000566094,0.000137632,-0.001086023,-0.000317292,-0.002060092,-0.000524855,,0.002553136,6.52E-05,-0.003641298,0.000785052,-0.003506993,0.000318335,0.000784749,0.001017284,0.004666095,0.002958339,0.002717299,0.000682135,0.004100196,0.000795378,0.000881562,0.00274582,0.001852529,-0.002576436,0.005436675,0.00297007,0.002681935,0.002905607,0.004324675,0.001465746,-0.001185468,0.00532605,0.004368305,0.003155695,0.004970551,0.003542176,0.001254343,-0.002654367,0.005616405,0.004333681,0.004263471,0.001459771,0.004529582,0.000308087,-0.002623663,0.005210223,0.00347201,0.003806652,0.005483688,0.006557171,0.001064537,-0.00193973,0.004781549,0.004237516,0.004326375,0.003966735,0.004455605,0.001395854,-0.000959032,0.004835117,0.005240303,0.003622594,0.006576156,0.005082622,0.001458363,-3.09E-05,0.005128315,0.004181549,0.004394363,0.005083364,0.006433468,0.001949062,-0.000215595,0.004530161,0.003251726,0.004493146,0.00460874,0.005271025
"(0.18, 0.2)",0.002481968,,0.001273913,0.000595973,0.000687616,0.000479992,-0.001425054,-0.001295802,-0.000208605,0.001236545,0.000517484,-0.001356709,-0.000160833,0.000101089,,0.002572048,0.000478906,-0.000884824,0.001560636,-0.001347009,0.00170912,0.002282475,0.002571506,0.006007173,0.003178132,0.002730528,0.000887008,0.004236476,0.000181314,0.000464492,-0.000793496,0.002054865,-0.002251314,0.004412117,0.002784112,0.00452476,0.002707028,0.00419337,0.000721673,-0.002571159,0.004592958,0.004659313,0.003094253,0.002499912,0.004372767,0.001275313,-0.000849327,0.004200865,0.006229887,0.00470859,0.002946212,0.004570667,0.001930385,-0.000815964,0.004253869,0.005167229,0.004225258,0.003454893,0.004150645,0.002340091,-0.001558476,0.003189019,0.004773371,0.003546858,0.004941583,0.004851165,0.001200848,-0.002205301,0.003338346,0.005042485,0.004862867,0.005166668,0.005251469,0.000643516,-0.003129286,0.002450566,0.004865657,0.004676845,0.007138122,0.005801849,0.002184336,-0.001632653,0.003298332,0.005221431,0.003573257,0.004747076,0.005902693
"(0.2, 0.22)",0.001873323,,0.001308003,0.001213103,0.000927347,0.002080675,-0.001481448,-0.001818672,0.000256339,0.00094914,0.00178413,2.76E-05,-0.000824812,-0.000318256,,0.002917777,0.001090106,-0.001735895,0.001439678,-0.001396621,0.000721784,0.002445736,0.001846534,0.004484875,0.001306751,0.000851912,2.33E-05,0.003114312,0.001339467,0.001393409,-0.000801173,0.001905217,-0.003095325,0.004403152,0.003820159,0.002975501,0.003377925,0.003853108,0.001153043,-0.002332515,0.003599031,0.005110204,0.00253467,0.003134654,0.00298943,0.002772231,-0.001963283,0.004030191,0.004378241,0.003491575,0.004639808,0.002921525,0.002888937,-0.001496441,0.001963355,0.004890665,0.003777799,0.002034943,0.003320123,0.001755153,-0.001743215,0.00320689,0.003978435,0.004931485,0.004614159,0.004748131,0.002129193,-0.001056168,0.003124842,0.004229809,0.005535829,0.003976614,0.004599374,0.001747959,-0.00043403,0.003637801,0.005514959,0.004126931,0.00465737,0.004205116,0.001515354,-0.00118377,0.002891138,0.004819962,0.005118366,0.005361578,0.006000086
"(0.22, 0.24)",0.00187319,,0.001237027,0.001453465,0.001309611,0.001149742,-0.001701631,-0.001537337,0.000702644,0.001988401,0.000335472,-0.000132403,0.002640989,0.003043817,,0.00201429,0.00038911,-0.001793471,0.002425658,-0.00198859,0.001497057,0.003134352,0.001286021,0.003339707,0.001579438,0.001260662,-0.001082561,0.002547038,0.000555265,0.000526329,0.001747966,0.002667298,-0.001502403,0.003086302,0.002521553,0.003977116,0.002631932,0.000830213,0.003210555,-0.001096836,0.003820486,0.002897491,0.003604546,0.004477349,0.004062333,0.00149441,-0.002566755,0.003656697,0.004312986,0.004055995,0.005246958,0.002534489,0.002430386,-0.001778038,0.004752447,0.004336213,0.00511253,0.002982978,0.002950526,0.003260892,-0.000799087,0.003770326,0.003582632,0.004356901,0.001252559,0.002920583,0.001751266,-0.001118368,0.003976624,0.004216288,0.004014508,0.003547851,0.002314976,0.001905019,-0.000826017,0.002864546,0.004636845,0.005583699,0.004790358,0.004732889,0.001200903,-0.000528887,0.00327252,0.003631173,0.003658804,0.00693355,0.003706078
"(0.24, 0.26)",0.00203554,,-0.000994012,-0.00081444,-0.001059186,-0.00092172,-0.00227287,-0.002205819,0.002752918,0.000722426,0.002297811,4.05E-05,0.000584362,0.002241209,,0.002393438,0.00186406,-0.002222591,0.002876009,-0.002033885,0.001821371,0.000972998,0.002261471,0.002222409,0.001379251,0.001066201,-0.002291531,0.003775119,-0.000320558,-0.000120786,-0.000327539,0.001963904,-0.001438374,0.00424021,0.003401736,0.004495623,0.002437246,0.002405594,0.001133416,-0.002604889,0.00369755,0.002462244,0.003317942,0.003865646,0.001371313,0.001531836,-0.001834123,0.003633239,0.003505857,0.002736241,0.002380077,0.003820123,0.002200262,-0.002471454,0.003648079,0.003143785,0.00353082,0.004603102,0.001846579,0.004289509,-0.001570253,0.004491632,0.003392334,0.004209924,0.00386212,0.001672679,0.002358159,-0.001099797,0.002608475,0.002795317,0.004215319,0.00305147,0.003687068,0.002945894,-0.00178156,0.004134514,0.003029114,0.004862843,0.002945043,0.004106741,0.001894582,-0.002453578,0.003764074,0.004279565,0.005600721,0.004226934,0.003874054
"(0.26, 0.28)",0.000807769,,0.000729999,0.000517882,0.000986811,0.000896094,-0.001326047,-0.001128071,0.002309509,0.001695788,0.001304351,0.001378296,-0.000723652,-0.002473062,,0.000443878,0.002253579,-0.000759212,0.001933447,-0.000938098,0.002286322,0.002582308,0.002516988,0.002875991,0.000482425,0.000113581,-0.001790378,0.001985643,0.000519883,0.000707649,-0.000507117,0.00191959,-0.001320864,0.002437073,0.002853233,0.003107831,0.002712114,0.000784272,0.002885008,-0.001805519,0.003481361,0.003724667,0.003230145,0.002218744,0.002382123,0.00155485,-0.001745244,0.003228337,0.003144241,0.002624132,0.002133755,0.003210559,0.002907179,-0.001636923,0.003742156,0.002262826,0.004170856,0.003706787,0.003310396,0.001788971,-0.00168063,0.002492182,0.00334103,0.003668369,0.003378405,0.003717578,0.001925216,-0.001758101,0.004104569,0.003698521,0.006196109,0.002756531,0.002504544,0.002135641,-0.001153394,0.00412499,0.003883717,0.004139883,0.002446208,0.001339909,0.002586442,-0.001952009,0.003851809,0.004730375,0.00572267,0.002928616,0.004018133
"(0.28, 0.3)",-0.000449384,,0.001995079,0.002762649,0.002006542,0.001616772,-0.000451956,-0.000846068,0.000580178,0.002962435,0.003313064,0.000548348,0.001608352,-0.000946681,,0.001529877,9.72E-05,-0.000565411,0.003285718,-3.82E-05,0.002065602,0.002906159,0.001402852,0.003193298,-0.000218203,-0.001005698,-0.000362277,0.003133342,-0.000552284,-0.000132534,-0.000523362,0.001186212,0.000101222,0.003069865,0.003350864,0.003074727,0.002218148,0.001621714,0.001989685,0.000406232,0.002324196,0.003754972,0.002310971,0.002094616,0.003247895,0.001541529,-0.000452353,0.003614807,0.003336321,0.004726292,0.002289042,0.00185861,0.002960524,4.06E-06,0.002474331,0.003336751,0.002764886,0.002441919,0.003600767,0.003192754,-0.00079711,0.003298372,0.003017944,0.003502343,0.003058154,0.003805378,0.00279205,-0.001331041,0.003334464,0.003343984,0.002208309,0.002904973,0.002521234,0.002333442,-0.000925163,0.003242073,0.002851714,0.005786974,0.003325063,0.002510056,0.003642642,-6.00E-05,0.003435711,0.002827692,0.005116802,0.001300312,0.00217285
