,_id_rank,日期_rank,开盘_rank,收盘_rank,最高_rank,最低_rank,成交量_rank,成交额_rank,振幅_rank,涨跌幅_rank,涨跌额_rank,换手率_rank,真实价格_rank,代码_rank,timestamp_rank,开盘收盘幅_rank,昨日振幅_rank,昨日成交额_rank,delta昨日成交额_rank,昨日成交量_rank,delta昨日成交量_rank,昨日涨跌_rank,delta昨日涨跌_rank,昨日资金贡献_rank,delta昨日资金贡献_rank,up昨日资金贡献_rank,down昨日资金贡献_rank,昨日资金波动_rank,delta昨日资金波动_rank,up昨日资金波动_rank,down昨日资金波动_rank,过去2日总涨跌_rank,过去2日总成交额_rank,过去2日资金贡献_rank,ma_up4周期昨日资金贡献_rank,ma_down4周期昨日资金贡献_rank,ma_up4周期昨日资金波动_rank,ma_down4周期昨日资金波动_rank,过去3日总涨跌_rank,过去3日总成交额_rank,过去3日资金贡献_rank,ma_up6周期昨日资金贡献_rank,ma_down6周期昨日资金贡献_rank,ma_up6周期昨日资金波动_rank,ma_down6周期昨日资金波动_rank,过去4日总涨跌_rank,过去4日总成交额_rank,过去4日资金贡献_rank,ma_up8周期昨日资金贡献_rank,ma_down8周期昨日资金贡献_rank,ma_up8周期昨日资金波动_rank,ma_down8周期昨日资金波动_rank,过去5日总涨跌_rank,过去5日总成交额_rank,过去5日资金贡献_rank,ma_up10周期昨日资金贡献_rank,ma_down10周期昨日资金贡献_rank,ma_up10周期昨日资金波动_rank,ma_down10周期昨日资金波动_rank,过去6日总涨跌_rank,过去6日总成交额_rank,过去6日资金贡献_rank,ma_up12周期昨日资金贡献_rank,ma_down12周期昨日资金贡献_rank,ma_up12周期昨日资金波动_rank,ma_down12周期昨日资金波动_rank,过去7日总涨跌_rank,过去7日总成交额_rank,过去7日资金贡献_rank,ma_up14周期昨日资金贡献_rank,ma_down14周期昨日资金贡献_rank,ma_up14周期昨日资金波动_rank,ma_down14周期昨日资金波动_rank,过去8日总涨跌_rank,过去8日总成交额_rank,过去8日资金贡献_rank,ma_up16周期昨日资金贡献_rank,ma_down16周期昨日资金贡献_rank,ma_up16周期昨日资金波动_rank,ma_down16周期昨日资金波动_rank,过去9日总涨跌_rank,过去9日总成交额_rank,过去9日资金贡献_rank,ma_up18周期昨日资金贡献_rank,ma_down18周期昨日资金贡献_rank,ma_up18周期昨日资金波动_rank,ma_down18周期昨日资金波动_rank
"(0.64, 0.66)",-0.000462971,,0.000146943,0.000708515,0.000513322,1.95E-05,0.003101153,0.002635817,0.002671891,0.0015791,0.002604988,0.000977304,0.001799138,0.001549234,,0.0019498,0.002253715,0.002043755,0.002831583,0.002437161,0.003215593,0.001473043,0.001277135,0.000256556,-0.000822149,0.001482122,0.002822425,-0.001174577,-0.001416944,-0.005975308,-0.00305063,0.000714192,0.00225715,0.000532824,0.000772471,4.91E-05,6.14E-05,-0.000648523,0.003156732,0.00429369,0.00036989,0.000799815,-0.000547522,-0.001392485,0.000133685,0.002697237,0.003930407,4.34E-05,0.001206899,-0.000188212,-0.000973384,-0.001295982,0.001671654,0.002711646,0.000905654,0.001855741,0.001305969,1.19E-05,-0.000776233,0.002472484,0.003908156,0.000987275,0.001294125,-0.000125829,-0.000502711,-0.001023599,0.001948622,0.004241382,0.000229528,-0.000880703,-0.000617268,0.00059365,-0.001011103,0.002108111,0.004902716,0.000189645,9.01E-05,0.001941912,-0.001929617,0.000213937,0.002246557,0.004638791,0.001397314,0.001801537,0.000255783,-3.34E-05,-0.000494351
"(0.66, 0.68)",-0.000246161,,0.000373033,0.000434779,0.000528599,0.00078538,0.002880575,0.004779623,0.002879159,0.00157254,0.001998706,0.003122618,0.002506425,0.002778985,,0.00180452,0.002581223,0.004068319,0.002980756,0.002737621,0.001355434,0.001158045,0.002804825,0.000106192,0.000104943,0.001230118,0.012478237,-0.000904769,0.00099258,-0.002704583,-0.004506882,0.001884128,0.003096519,-0.000141257,-0.000264463,0.000161712,-0.001620944,-0.000335682,0.003591911,0.002612072,0.000250087,0.000187802,-0.000651706,8.12E-05,-0.000306358,0.002795869,0.004288391,0.001057979,-0.000421077,0.001444151,0.001174891,0.000357714,0.00300959,0.004017799,-0.001113519,0.000505193,-0.000837538,0.000339999,-0.00035515,0.001996223,0.003491511,-0.000302981,0.001093172,0.001188433,0.000356569,-0.001321009,0.001936708,0.002818434,7.84E-05,-0.00010266,0.000745471,-0.001509379,-0.00112198,0.002033832,0.003417819,0.001199502,-0.000893321,-0.000461437,-0.00212178,-0.00122318,0.001782147,0.003148105,-0.00048984,-0.000667918,-0.001130539,-0.000951568,-0.000523293
"(0.68, 0.7000000000000001)",-0.000134098,,0.003108887,0.002965772,0.002731614,0.002801371,0.003433038,0.004110307,0.001944266,0.002305949,0.002033729,0.002980193,0.003365097,0.000247361,,0.003966459,0.001798754,0.004326507,0.002089884,0.002970972,0.001946012,0.002125532,0.002797633,-0.000747517,0.000641936,0.003673614,0.012215903,-0.002145671,0.000201009,-0.002584019,-0.001714675,0.001816836,0.003210531,-0.00016484,0.00054929,-0.001406761,-0.000417643,-0.00131547,0.001398406,0.003394511,0.000568475,-0.000985118,0.000419313,-0.000315182,0.001274029,0.002817962,0.002773746,8.15E-05,-7.04E-05,9.79E-05,-0.000237662,-0.001031884,0.00185401,0.003167011,-0.000315488,0.000407264,-0.001317519,0.000176631,-7.71E-05,0.00231839,0.002914192,-0.000841379,-0.000347081,0.000585787,-0.002447505,-0.001458864,0.000624537,0.003237376,-0.000700246,0.000965768,7.47E-05,-0.0014715,-0.002107778,0.001620216,0.001781582,-0.001070673,-0.001136344,-0.00194073,-0.000671385,-6.27E-05,0.00245191,0.002673768,-0.001298652,-0.001486264,-0.001299764,-0.001150376,-0.001294181
"(0.7000000000000001, 0.72)",-0.000496006,,0.000618993,0.00028259,0.000534404,0.000413909,0.002452297,0.003299175,0.001918148,0.003747147,0.001735235,0.002811172,0.003069532,0.000662692,,0.002524535,0.002388552,0.002712558,0.002288929,0.002527606,0.002371212,0.003932044,0.00160444,3.07E-05,-0.001398195,-0.004883021,0.011722247,-0.001818323,-0.000792942,0.002283544,-0.005664013,0.000954994,0.004072484,-0.00035018,0.000146701,-0.000439744,-0.001327627,-0.001692082,0.002032133,0.00371395,-0.000545221,0.000200069,-0.000537083,-0.000851324,2.53E-05,0.002164428,0.003153809,-0.000544826,-0.001018981,-0.001457476,-0.000330112,0.00075369,0.002358253,0.002833127,0.00011638,-0.001998259,0.000847431,-0.001596185,-0.001674896,0.002133905,0.00367661,-0.000206031,-0.001432111,-0.001014143,-0.001487023,-0.000754857,0.001913913,0.003506332,-0.000757598,-0.001126123,-7.46E-05,-0.00022473,-0.000798704,0.001512503,0.003415334,-0.001167797,-0.000359686,0.000991267,0.000156963,-0.002129239,0.002017578,0.00330558,-0.000499353,2.31E-05,3.73E-05,-0.001311237,-0.001044889
"(0.72, 0.74)",-0.003242507,,0.003132795,0.003350518,0.00343716,0.002743965,0.002024874,0.003436193,0.002065456,0.002523692,0.001555491,0.002373521,0.004065447,0.001341033,,0.002779981,0.001588711,0.002894473,0.00137426,0.002228356,0.002100082,0.001417656,0.002141572,-0.001443045,-0.001070153,0.002956384,0.007105271,-0.001133676,0.000136913,0.004198723,-0.003329039,0.001989023,0.003071597,-0.002034711,0.00031192,-0.000617953,-0.00189403,-0.001051068,0.002260908,0.00308881,-0.001072363,9.28E-05,-0.000331164,-0.001086771,-0.002316406,0.00127143,0.003448345,-0.001264332,-0.001560402,-0.000564612,-0.001245782,-0.000510454,0.002443162,0.003348783,-0.001055926,-0.002457165,-0.000309545,-0.000655349,-0.001563282,0.001909519,0.002746193,-0.001346379,-0.001240827,-0.001300701,-0.000814979,-0.000605547,0.001425344,0.003506694,-0.00070549,-0.001246655,0.000211985,-0.001775042,-0.001515162,0.002997807,0.003504529,-0.000393257,0.000844118,0.000250499,-0.001391166,-0.002378057,0.003040743,0.003832804,-0.000371441,-0.00047904,0.00011552,0.000474508,-0.002269074
"(0.74, 0.76)",-0.003350913,,0.003172853,0.003106764,0.002398478,0.003688674,0.003656465,0.003092307,0.002154684,0.001428958,0.001899643,0.001603589,0.004481282,0.00133511,,0.002362333,0.002278344,0.003344067,0.001242156,0.002764804,0.002168149,0.001376679,0.002225978,-0.001107377,-0.00109053,0.007928528,0.008633186,-0.002585902,-3.68E-05,0.004697299,-0.003543377,0.001467083,0.00386356,-0.000684253,-0.001025599,-0.000806595,-0.001245227,-0.002434705,0.001970666,0.004165195,-0.002883061,-0.000324585,-5.33E-05,-0.002070938,-0.001590289,0.002078276,0.003952459,-0.002070221,-0.000692745,0.000443142,-0.001340977,-0.000939051,0.001092714,0.004978212,-0.002813123,-0.001183583,-0.000938796,-0.001698277,-0.002315325,0.002164271,0.004570268,-0.00116377,-0.002075579,-0.000356281,-0.000913986,-0.001364804,0.002017922,0.003340379,-0.002096251,-0.00065713,-0.000988981,-0.001560499,-0.000965108,0.00190776,0.004031859,-0.002327756,-0.002287926,-0.001374352,-0.001520115,-0.001109889,0.001672885,0.003406044,-0.002312664,-0.000259445,0.000174108,-0.002139442,-0.001493452
"(0.76, 0.78)",0.000681204,,0.002269627,0.002383202,0.002856433,0.00197395,0.002707774,0.003403851,0.003100128,0.002424657,0.002018032,0.00240209,0.004846301,-4.13E-05,,0.001230318,0.003147116,0.002574271,0.001102673,0.00220928,-0.000664039,0.002594121,0.002172591,-0.001830112,-0.000187148,0.008825821,0.007822092,-0.002744336,0.001665039,0.008740332,0.001426354,0.000980383,0.003004949,-0.001722644,-0.000414397,-0.002405313,-0.000552935,-0.000750589,0.002423045,0.004017887,-0.001554849,-0.00153077,-0.001821121,-0.001485489,-0.001897854,0.002408024,0.003487765,-0.002179838,-0.000168058,-0.00099757,-0.001824037,-0.00214414,0.001595411,0.003922821,-0.001463283,-0.001676717,-0.000938173,-0.002237153,-0.001749592,0.002097278,0.003956668,-0.001842606,-0.00191396,-0.00129291,-0.001401553,-0.002168961,0.001162766,0.004130568,-0.001656338,-0.001873314,-0.000407154,-0.002511828,-0.001717989,0.000897095,0.00387007,-0.000645306,-0.001190636,0.000723011,-0.001662412,-0.001710736,0.001921917,0.0038188,-0.000370137,-0.003384937,-0.000858085,-0.00242821,-0.002022668
"(0.78, 0.8)",-0.00269195,,0.001895404,0.001783272,0.002006287,0.000998579,0.002099467,0.004329241,0.001472483,0.002541892,0.000948044,0.002536579,0.002220691,0.000528245,,0.000685571,0.001263684,0.004217457,0.001667837,0.002213266,-0.000211893,0.001652909,0.002027965,-0.001891077,-0.000576083,0.003215931,0.016860699,-0.002470878,-0.000501283,0.009204416,0.001758581,0.002006939,0.004010823,-0.002862217,0.000381338,-0.000684761,0.000555752,-0.001646637,0.001319911,0.003444839,-0.001389342,-0.001306568,9.84E-05,-0.001873957,-0.001740484,0.001325672,0.003122383,-0.001490554,-0.000989691,-0.001055139,-0.002824148,-0.001253028,0.001160386,0.003068285,-0.001422291,-0.002483688,0.000103136,-0.001437904,-0.001224106,0.001622507,0.003856802,-0.001122095,-0.000876704,6.67E-05,-0.00290435,-0.002317714,0.001298515,0.004489606,0.000321672,-0.001718755,-0.000313564,-0.002765311,-0.001553904,0.001648491,0.004192504,-0.000638561,-0.00090352,6.98E-05,-0.00151938,-0.001663594,0.00120032,0.004769073,-0.001121601,3.38E-05,-0.001008303,-0.00154081,-0.002540876
"(0.8, 0.8200000000000001)",0.001186596,,0.003573274,0.003412694,0.00324951,0.003875615,0.003850807,0.004921651,0.001675293,0.002355429,0.000176942,0.001588977,-0.001136702,0.000563485,,0.002460542,0.001683661,0.005383198,0.000957771,0.004249668,-0.000132084,0.002071148,0.001376224,-0.001241863,0.00134772,0.006241297,0.018370349,-0.001665288,-0.000803884,0.001334923,-0.025043023,0.001195392,0.003864672,-0.001936869,-0.000955957,-0.000703209,-0.000802502,-0.00112949,0.000905889,0.004204417,-0.002616277,-0.000726922,-9.08E-05,-0.001261807,-0.001193172,0.000587911,0.005112636,-0.00151747,-0.001201799,-0.001159662,-0.002611185,-0.002186366,0.002134679,0.003322227,-0.001032773,0.000284353,-0.000128571,-0.001927955,-0.001136522,0.000916836,0.003498501,-0.001621552,-0.001969605,0.000158387,-0.00211623,-0.001397199,0.00056595,0.002425405,-0.003180157,-0.001002958,-0.000586255,-0.002004933,-0.001546068,0.002198734,0.00374805,-0.003176692,-0.001074385,-0.001431729,-0.002777562,-0.000709121,0.001139497,0.003650778,-0.002559243,0.000771564,-0.000303914,-0.000351119,-0.001379254
"(0.8200000000000001, 0.84)",0.000313138,,0.003715546,0.003806015,0.003881709,0.00431684,0.003907079,0.004688974,0.002626649,0.002216969,0.000521145,0.002280238,-0.005667824,0.00220658,,-0.000468736,0.002201203,0.004867087,-0.000421063,0.003968234,0.000506698,0.002311921,0.001005638,-0.002610472,0.000900269,0.003083413,0.017726661,-0.002275776,0.002573143,0.002563762,-0.003128827,0.001470936,0.005199494,-0.002204251,-0.003013309,-0.003051008,-0.000877096,0.000118169,0.000606663,0.005086277,-0.001909269,-0.001101611,-0.000667493,-0.00156057,-7.16E-05,0.001054345,0.004528143,-0.002801249,-0.001263917,-0.001420111,-0.000259316,-0.001038616,0.001048786,0.005014736,-0.00343214,-0.000731177,-0.002297732,-0.001056315,0.000213661,-0.000620508,0.005127909,-0.002821021,9.39E-05,-0.000705662,-0.001394607,-0.001199245,-0.000300356,0.004519165,-0.001761802,-0.000606188,-0.001926388,-0.001752178,-0.002816476,-0.000845113,0.004237056,-0.000962663,-0.000550707,-0.000452562,-0.001358235,-0.001386581,0.00083501,0.00396463,-0.001986388,-0.001558624,-0.00171491,-0.001562714,-0.00012687
"(0.84, 0.86)",0.001682755,,0.001256173,0.000946628,0.000811903,0.001323803,0.003088395,0.004664037,0.001231549,0.001049785,0.000756775,0.00225078,-0.019933474,0.001831883,,0.000486103,0.000911047,0.004528906,4.45E-05,0.002762754,-0.000322898,0.000640931,0.001022373,-0.004024977,0.001552717,-0.002415282,-0.000988339,-0.001784704,0.001454685,0.017032632,-0.011507513,0.000960601,0.005407532,-0.002484173,-0.002116846,-0.002599161,-0.000981509,-0.000325811,0.000648171,0.005714059,-0.00270913,-5.36E-05,-0.000992325,-0.00058345,-0.001600035,0.00135261,0.005948317,-0.003072236,-0.000395242,0.000900146,-0.000618295,-0.000579509,-0.000220254,0.005683747,-0.002650916,-0.000711106,-0.000782743,-0.000858499,-0.001471911,0.001327919,0.004664364,-0.002966918,-0.000995477,-0.002717557,-0.000488604,-0.000964627,0.000982851,0.005217786,-0.002919019,3.74E-05,-0.000631667,-0.000283893,-0.000974177,1.83E-05,0.003824131,-0.003447032,-3.59E-05,-0.00190659,-0.000324739,-0.002125505,0.000795194,0.004042587,-0.003580601,-0.000926957,-0.002030552,-0.001068634,-0.001775345
"(0.86, 0.88)",0.002690112,,0.001556866,0.001779127,0.001429914,0.001962699,0.005005178,0.004725785,0.001473347,-0.000259128,0.000382113,0.003247164,,-0.003563201,,0.000753045,0.001641089,0.00452471,-7.75E-05,0.004976857,0.000278965,-0.001325599,0.00140263,-0.002672711,0.001287271,-0.004588673,-0.009855271,-0.003020411,0.002147712,-0.000854572,-0.009655467,0.000110315,0.005458883,-0.003379007,-0.003045206,-0.000500584,-0.003043782,-0.001559072,5.35E-05,0.004157559,-0.004050704,-0.001731695,-0.00308507,0.000395608,-5.31E-06,9.45E-05,0.004433675,-0.003411814,-0.001868541,-0.000753819,1.93E-05,-0.000739565,0.000952212,0.005092837,-0.004551442,-0.002178316,-0.001341817,0.000110051,-0.001780802,0.001200837,0.004774534,-0.004007102,-0.000726115,-0.001391785,-0.000209696,-0.000678721,-0.000363734,0.005239508,-0.003993543,-0.001461461,-0.002767874,0.00110677,-0.001891297,-0.001043594,0.004728926,-0.003556115,-0.002041592,-0.001907797,-9.65E-05,-0.000744304,-0.001145664,0.004950897,-0.002417252,-0.00113894,-0.001181156,-0.000434217,-0.001488177
"(0.88, 0.9)",0.001556486,,0.002792249,0.003358745,0.003621896,0.002225224,0.00395175,0.005822477,0.001189768,-0.000358778,0.000628614,0.003003083,,0.000820761,,-0.001610636,0.001164854,0.005336215,-0.001562659,0.003660575,-0.000628109,-0.000458045,0.00066121,-0.004457236,0.002078144,-0.004615395,-0.016043974,-0.001958947,0.001241865,-0.010080566,-0.020948538,-0.000164792,0.004354844,-0.004478305,-0.002896394,-0.001373678,-0.001916221,-0.002258054,0.000249309,0.00520589,-0.004490889,-0.004544458,-0.00255168,-0.001815484,-0.002557225,0.000278048,0.004300191,-0.003339255,-0.003223366,-0.001184841,-0.000596098,-0.001903943,-0.000203721,0.003291437,-0.002553147,-0.000190848,-0.002325287,-0.001453672,-0.000644623,-0.000493882,0.00414528,-0.002752227,-0.002693592,-0.002569231,-0.000480336,-0.00119648,0.000709933,0.00308633,-0.001875809,-0.002105357,-0.002381814,-0.001113201,-0.000439265,0.000577121,0.004213933,-0.000523877,-0.001930395,-0.003521282,-0.00054939,-0.001390737,-0.000422183,0.004146039,-0.001092898,-0.002424639,-0.002094265,-0.000152905,-0.000239902
"(0.9, 0.92)",0.00202246,,0.003236443,0.002780282,0.00274524,0.003260718,0.005400359,0.004309091,0.001355635,0.000497904,-0.000852102,0.001946697,,-5.15E-05,,3.83E-05,0.001231302,0.004127484,-0.002913408,0.00506805,-0.001941722,0.000164481,-0.000353562,-0.005905162,0.002762443,-0.005394715,-0.014448684,-0.004119859,0.0022399,,-0.018322544,0.000676337,0.004469241,-0.006623257,-0.004151198,-0.002053324,-0.002185048,-0.001582074,0.001099356,0.004033624,-0.004454813,-0.003295722,-0.002055502,-0.002357155,-0.001159901,0.000215028,0.005637804,-0.004149778,-0.002321738,-0.004443555,-0.001290887,-0.001266,-0.00048851,0.004891237,-0.003142136,-0.003571204,-0.002389305,-0.001429069,-0.001551401,0.00015592,0.004328876,-0.002417616,-0.001979289,-0.004424492,-0.002196513,-0.001581983,0.001799768,0.004391237,-0.002952897,-0.003781696,-0.004587375,-0.001969105,-0.002374147,0.00077706,0.003538238,-0.003246343,-0.003172274,-0.003487277,-0.002825486,-0.002420357,0.000775376,0.00335419,-0.002445429,-0.003128871,-0.004492113,-0.00262446,-0.0030112
"(0.92, 0.9400000000000001)",-0.00046289,,-0.001147072,-0.001314462,-0.001249417,-0.000979975,0.006012025,0.004465561,0.000836543,0.000401012,-0.000484773,0.002643192,,0.003118923,,-0.002259529,0.000721367,0.004567494,-0.00135839,0.006072954,-0.003376734,-0.00042869,-0.001406659,-0.005857521,0.002640562,,,-0.00418425,0.003754104,,-0.000991889,-0.001307207,0.004458086,-0.00556007,-0.00389778,-0.002267077,-0.000607791,-0.000923418,-0.001225216,0.005999988,-0.005613951,-0.002936554,-0.002233843,-0.001452666,-0.002118827,6.97E-05,0.005898703,-0.005415016,-0.004305305,-0.00378639,-0.00292679,-0.001104043,-0.000209815,0.007195152,-0.005522782,-0.00595867,-0.004280354,-0.002722586,-0.001377538,-0.00076922,0.007368653,-0.004267499,-0.004659045,-0.002669394,-0.002711645,-0.001638502,1.13E-05,0.007480223,-0.00410614,-0.004271444,-0.004534919,-0.00306028,-0.001661619,0.000757819,0.007488455,-0.004413734,-0.00513797,-0.004890281,-0.002499916,-0.002157524,0.000495987,0.006601269,-0.00522954,-0.005478156,-0.005088973,-0.002986679,-0.002252099
"(0.9400000000000001, 0.96)",0.003173142,,0.000930988,0.001137826,0.001376004,0.000603783,0.005386659,0.00684408,0.000694608,-0.000478277,-0.000632618,0.00214857,,0.003591928,,-0.000680491,0.000929853,0.006413735,-0.003093295,0.005205538,-0.001901213,-0.000605208,-0.000335562,-0.004727039,0.002740406,,,-0.003362468,0.005104531,,,-0.00012458,0.007161964,-0.004837188,-0.002524873,-0.002564565,-0.002829358,-0.00164285,-0.001259528,0.00744778,-0.005015937,-0.003339169,-0.002718127,-0.001942831,-0.000485658,-0.001777193,0.007046801,-0.005213205,-0.002940657,-0.003067724,-0.003539867,-0.001996409,-0.000369549,0.007204444,-0.003888524,-0.003790182,-0.004015811,-0.003022752,-0.002447592,0.000424862,0.007098881,-0.004648701,-0.007064028,-0.003898839,-0.003741713,-0.003061278,-6.71E-05,0.007293545,-0.004402936,-0.00592503,-0.002278459,-0.004138618,-0.00416725,-0.000800237,0.006920864,-0.004320012,-0.003866774,-0.002185181,-0.004634184,-0.003952217,-0.00082304,0.008745317,-0.004023934,-0.002977188,-0.002465429,-0.004589922,-0.00362815
"(0.96, 0.98)",0.001555671,,0.002252452,0.002032078,0.002974964,0.001664997,0.004873035,0.008033504,-9.40E-05,-0.000755479,-0.002372337,0.002663046,,0.000903987,,-0.004804409,-0.000206315,0.007336286,-0.00407165,0.004632203,-0.004666736,-0.000632358,-0.001865173,-0.006398375,0.003580058,,,-0.002380875,0.005345288,,,-0.000686778,0.007374856,-0.005574637,-0.006136274,-0.004891901,-0.001761837,-0.002265868,-0.001569982,0.006508966,-0.00475371,-0.004179606,-0.003710148,-0.001683502,-0.002001442,-0.000876614,0.006477266,-0.003762998,-0.004739192,-0.00318775,4.79E-05,-0.00182841,-0.000621749,0.006181794,-0.004402076,-0.003197232,-0.003949372,-0.001558413,-0.001719707,-0.000428816,0.006017818,-0.004471809,-0.00272201,-0.004533479,-0.001417597,-0.001940962,-0.000641132,0.005946474,-0.004272793,-0.003471394,-0.004422445,-0.001888185,-0.001017097,0.000322096,0.006724677,-0.003975323,-0.003881984,-0.003663331,-0.001411421,-0.001165469,-0.00037024,0.006861357,-0.003519329,-0.003842299,-0.003808032,-0.001337076,-0.001287931
"(0.98, 1.0)",0.004709994,0.000721382,0.012732601,0.016573038,0.011132315,0.018384538,0.006689322,0.008277435,0.004229096,-0.0087833,-0.002518285,0.00325506,,0.002443903,0.000721382,-0.011925347,0.000976476,0.008287718,-0.005965222,0.006652718,-0.004411016,-0.005684032,-0.00622061,-0.007250078,0.005532502,0.000858205,0.000977536,-0.002203557,0.005059214,0.000895345,0.000782385,-0.005697282,0.00848255,-0.007016533,-0.002071333,0.001009925,-0.00115629,0.001432226,-0.00416806,0.008633626,-0.006718083,-0.006288221,-0.003409073,-0.003333791,-0.001991317,-0.002559942,0.008766105,-0.006547688,-0.00611307,-0.007242617,-0.003663333,-0.00365616,-0.001744809,0.008581723,-0.005897013,-0.007674214,-0.007523288,-0.003231966,-0.004378835,-0.002335122,0.008645375,-0.005291073,-0.00755513,-0.007191534,-0.003803886,-0.004092847,-0.002383929,0.008498509,-0.005373706,-0.007701137,-0.00723692,-0.003642799,-0.003719101,-0.001973189,0.008597477,-0.005488319,-0.008050041,-0.007727841,-0.003403963,-0.003405812,-0.002015208,0.008377891,-0.006116427,-0.007391877,-0.006623951,-0.003244764,-0.00332162
